Etykieta,Liczba próbek,Œrednia,Min,Max,Odch. std.,% b³êdów,Przepustowoœæ,KB/sek,bitów œrednio
"86 /r,id,d14xNDA7aF45MDt1Xmh0dHA6Ly9pLndwLnBsL2EvZi9qcGVnLzM2MjM5L3BpczIwMy5qcGVnO3FeMC45O2NedHJ1ZTtzY150cnVlO3ReanBnO3Ned2lhZG9tb3NjaTtmdF4x.jpg",5,185,162,243,"29,30","0,00%","6,6","70,61","10903,0"
"108 /a/i/stg/692,xgemius.js",5,54,45,68,"10,26","0,00%","9,0","48,75","5561,0"
"89 /r,id,d14xNDA7aF45MDt1Xmh0dHA6Ly9pLndwLnBsL2EvZi9qcGVnLzM2MjM4L25qMjAzLmpwZWc7cV4wLjk7Y150cnVlO3NjXnRydWU7dF5qcGc7c153aWFkb21vc2NpO2Z0XjE=.jpg",5,76,44,100,"22,21","0,00%","8,6","87,87","10510,0"
107 /pliki/753_20160123143.js,5,62,48,87,"13,06","0,00%","8,8","53,61","6269,0"
117 /RM/Box/c/b/adrail/rail-multi-1.4.4a.js,5,134,86,178,"36,96","0,00%","8,2","75,69","9409,0"
118 /,5,108,96,123,"10,28","0,00%","7,9","42,02","5421,8"
123 /RM/ads/adstream_lx.ads/wiadomosci.wp.pl/index.html/L27/1709948930/x05/OasDefault/WP_GoogleADX_Finansowe_all_3_rectangle/adM2.html/572b63595731616a6851454144755847,5,0,0,0,"0,00","100,00%","9,9","11,72","1217,0"
119 /a/i/wiadomosci/rebrand/google_red.png,5,57,43,79,"14,61","0,00%","9,0","11,40","1300,0"
121 /a/i/wiadomosci/rebrand/ic_pogoda.png,5,73,48,119,"29,95","0,00%","8,5","97,71","11747,0"
125 /a/i/wiadomosci/2011/kreska.gif,5,51,45,58,"4,76","0,00%","8,4","11,77","1434,0"
"90 /r,id,d14xNDA7aF45MDt1Xmh0dHA6Ly9pLndwLnBsL2EvZi9qcGVnLzM2MjM1L2ltaWdyYW5jaV9hZnAyMDMuanBlZztxXjAuOTtjXnRydWU7c2NedHJ1ZTt0XmpwZztzXndpYWRvbW9zY2k7ZnReMQ==.jpg",5,56,48,63,"5,78","0,00%","8,3","73,08","9070,0"
126 /a/i/wiadomosci/2011/dotts.gif,5,54,37,69,"12,49","0,00%","8,6","11,95","1427,0"
127 /a/i/wiadomosci/2011/li_dot.gif,5,59,48,77,"9,87","0,00%","8,3","11,56","1428,0"
124 /a/i/wiadomosci/2011/sprites.png,5,48,37,65,"10,84","0,00%","8,1","8,66","1098,0"
122 /a/i/wiadomosci/rebrand/sprite.png,5,97,55,130,"26,57","0,00%","7,3","119,04","16748,0"
120 /i/ivar/layout/201201/gwp_s.png,5,178,160,193,"14,47","0,00%","6,5","149,87","23450,0"
128 /a/i/wiadomosci/2011/helvetica45regular-webfont.woff,5,95,79,114,"13,41","0,00%","7,3","143,32","19988,0"
129 /redir,5,146,95,185,"36,76","0,00%","7,3","15,85","2233,0"
130 /tag/js/gpt.js,5,101,54,172,"39,51","0,00%","8,4","15,38","1884,0"
131 /RM/ads/adstream_lx.ads/wiadomosci.wp.pl/index.html/L27/212040073/x29/OasDefault/BusinessClick_Wiadomosci_boks29/2boksy-028.html/572b63595731616a6851454144755847,5,0,0,0,"0,00","100,00%","11,7","13,93","1215,0"
132 /RM/ads/adstream_lx.ads/wiadomosci.wp.pl/index.html/L27/1029735449/x34/OasDefault/WP_GoogleADX_Finansowe_all_3_rectangle/5230661.html/572b63595731616a6851454144755847,5,0,0,0,"0,00","100,00%","11,7","13,98","1220,0"
134 /a/i/wiadomosci/2011/opacity70.png,5,47,38,55,"6,18","0,00%","10,4","4,33","426,0"
135 /RM/ads/adstream_lx.ads/wiadomosci.wp.pl/index.html/L27/1806500843/x37/OasDefault/WP_GoogleADX_Finansowe_all_3_msky/5230662.html/572b63595731616a6851454144755847,5,0,0,0,"0,00","100,00%","11,5","13,67","1215,0"
133 /awrapper,5,193,178,201,"8,16","0,00%","7,9","46,87","6037,2"
140 /18710/aca044db3847e45d5ab0b4afbd474725/57586d6c6d3921e854071cf783dfa36e.jpeg,5,106,64,157,"34,70","0,00%","8,4","36,00","4372,2"
138 /18136/95fe7238408b7340ec21ef276246a21f/c1f33653fb579cb6857d09c181f3fe5f.jpg,5,98,62,137,"29,69","0,00%","7,9","118,71","15365,2"
142 /RM/ads/adstream_lx.ads/wiadomosci.wp.pl/index.html/L27/1888311343/x18/OasDefault/WP_GoogleADX_Finansowe_all_3_rectangle/adM2584638.html/572b63595731616a6851454144755847,5,0,0,0,"0,00","100,00%","9,3","11,10","1223,0"
141 /mailing/,5,50,38,75,"12,93","0,00%","8,2","2,31","290,2"
139 /18299/7a15e647f00037503727555362641937/b491b4d320a541a7db2cfcbf0cc9d5d6.png,5,159,137,179,"18,39","0,00%","7,1","281,17","40539,2"
